Program,Round,Recipient Name,Physical Address Of Recipient - Suburb/Location,Physical Address Of Recipient - Post Code,University Collaborator (If Applicable),Other Partners; Collaborators (If Applicable),Investment/Project Title,Primary Location Of Activity/Project - Suburb,Primary Location Of Activity/Project - Post Code,Multiple Locations Of Activity/Project (If Applicable),Approval Date,Local Government /Council,Rap Region,State Electorate,Actual Contractual Commitment ($)
Aboriginal And Torres Strait Islander Phd Scholarships,Aq Aboriginal & Torres Strait Islander Phd Scholarships 2018-19 Round 4,Central Queensland University,Norman Gardens,4701.0,Nan,Bhp Billiton,Decolonising The Systematic Barriers And Enablers Of Indigenous Career Progression In Miningco (Bhp). An Aboriginal Perspective - Terry Bell,Brisbane City,4001.0,Nan,2019-06-14,Rockhampton (R),Brisbane And Redlands,Keppel,107084.0
Aboriginal And Torres Strait Islander Phd Scholarships,Aq Aboriginal & Torres Strait Islander Phd Scholarships 2015-16 Round 1,Griffith University,Nathan,4111.0,Nan,Nan,An Indigenous Journey Through The 21St Century Educational Landscapes Of New Metrics - Troy Meston,Nathan,4111.0,Nan,2016-01-28,Brisbane (C),Brisbane And Redlands,Toohey,117500.0
Aboriginal And Torres Strait Islander Research Fellowships,Aq Aboriginal & Torres Strait Islander Research Fellowships 2017-18 Round 3,Queensland University Of Technology,Brisbane City,4000.0,Nan,Engineered Wood Products Association Australasia Ltd,An Innovative Framing System For Taller Timber-Framed Buildings  Craig Cowled,Brisbane City,4000.0,Nan,2018-08-21,Brisbane (C),Brisbane And Redlands,Mcconnel,240000.0
Aboriginal And Torres Strait Islander Research Fellowships,Aq Aboriginal & Torres Strait Islander Research Fellowships 2015-16 Round 1,Csiro,Smithfield,4878.0,Nan,Csiro,Transforming Hidden Data: An Integrative Information System For Torres Strait - Cass Hunter,Smithfield,4878.0,Nan,2016-01-28,Cairns (R),Far North Queensland,Barron River,158032.0
Advancing Regional Innovation Program,Aq Advancing Regional Innovation Full 2016-17,Redland City Council,Cleveland,4163.0,Nan,Community Information Support Services Ltd  Logan City Council  Redland City Chamber Of Commerce Inc  Global Community Resourcing Pty Ltd  Social Enterprise Network Logan Limited  Tafe Queensland Brisbane  Griffith University - Logan Campus - Master  Yfs Ltd,Growing Innovation In The Redlands And Logan Region,Cleveland,4163.0,"Meadowbrook, Alexandra Hills, Springwood",2017-09-21,Redland (C),Brisbane And Redlands,Oodgeroo,500000.0
Advancing Regional Innovation Program,Aq Advancing Regional Innovation Full 2020-21,Tablelands Regional Council,Atherton,4883.0,Nan,Natural Evolution Pty Ltd  Farmer Meets Foodie  James Cook University (Jcu)  Ausindustry  Iihub Ltd  Rural And Remote Innovation Australia (Rria) Inc  Telstra Corporation Limited  Yep Entrepreneurship Facilitators Cairns,Tablelands Innovation Program,Atherton,4883.0,Nan,2020-11-11,Tablelands (R),Far North Queensland,Hill,45000.0
Advancing Regional Innovation Program,Aq Advancing Regional Innovation Full 2016-17,Sunshine Coast Regional Council,Maroochydore,4558.0,Nan,Noosa Shire Council  University Of The Sunshine Coast  Central Queensland University - Noosa Campus Master  Regional Development Australia Sunshine Coast Incorporated  Suncentral Maroochydore Pty Ltd  The Old Ambulance Station (Sunshine Coast Arts Industry Precinct Inc.)  Innovate Noosa Inc.  Bdo Australia Limited  Suncare Community Services Ltd  Stockland Corporation Ltd  Australia And New Zealand Banking Group Limited T/A Anz  Telstra Corporation Limited  Innovation Centre Sunshine Coast Pty Ltd,Sunshine Coast Regional Innovation Program #Script,Maroochydore,4558.0,"Sippy Downs, Nambour, Tewantin",2017-06-02,Sunshine Coast (R),Sunshine Coast,Maroochydore,500000.0
Advancing Regional Innovation Program,Aq Advancing Regional Innovation Full 2020-21,Smart Precinct Nq Limited,Townsville City,4810.0,Nan,Nan,"North Queensland Investment, Innovation & Industry Catalyst",Townsville City,4810.0,Nan,2020-07-02,Townsville (C),Townsville,Townsville,500000.0
Advancing Regional Innovation Program,Aq Advancing Regional Innovation Staged 2016-17,Wide Bay Burnett Regional Organisation Of Councils Inc.,Gympie,4570.0,Nan,University Of The Sunshine Coast  The Generator Bundaberg Pty Ltd  Mt Rawdon Operations Pty Ltd  Red Earth Community Foundation South Burnett Limited  Berwin Ltd,Develop A Collaborative Action Plan And Advise On The Submission Of A Subsequent Full Application For The Wide Bay Burnett Region ((Linked To Aqaripfull00216-17),Gympie,4570.0,Nan,2017-01-19,Gympie (R),Wide Bay,Gympie,20000.0
Advancing Regional Innovation Program,Aq Advancing Regional Innovation Full 2016-17,Wide Bay Burnett Regional Organisation Of Councils Inc.,Gympie,4570.0,Nan,University Of The Sunshine Coast  Fraser Coast Regional Council  Bundaberg Regional Council  The Generator Bundaberg Pty Ltd  Community Lifestyle Support Ltd  Gympie Regional Council  Gympie Chamber Of Commerce Inc  Ag & Industry Pty Ltd Trading As Kandanga Farm Store  Gympie & District Home For The Aged Inc Trading As Cooinda Aged Care Centre  Mary Valley Chamber Of Commerce Inc.  South Burnett Regional Council  Kingaroy Chamber Of Commerce & Industry Inc  P.J Howlett & R.J Howlett  Bga Agriservices Ltd  Peanut Company Of Australia Limited  Burnett Water Services  North Burnett Regional Council  Burnett Inland Economic Development Organisation Inc  University Of Southern Queensland  Agl Energy Limited  Berwin Ltd  Central Queensland University - Bundaberg Campus - Master  Bundaberg Enterprise Centre Association Inc,Delivering Innovation In The Wide Bay Burnett Region (Linked To Aqaripstaged00116-17),Gympie,4570.0,"Gayndah, Kingaroy",2017-07-17,Gympie (R),Wide Bay,Gympie,478330.0
Advancing Regional Innovation Program,Aq Advancing Regional Innovation Staged 2016-17,Greater Whitsunday Alliance Limited,Mackay,4740.0,Nan,Central Queensland University - Rockhampton Campus - Master  Mackay Regional Council  Resource Industry Network Co-Op Ltd  Regional Development Australia Mackay-Isaac -Whitsunday Inc.  Startup Mackay Inc  Split Spaces Ltd,Develop A Collaborative Action And Advise On The Submission Of A Subsequent Full Application For The Mackay-Isaac-Whitsunday Region (Linked To Aqaripfull00316-17),Mackay,4740.0,Nan,2017-02-24,Mackay (R),Mackay-Whitsunday,Mackay,20000.0
Advancing Regional Innovation Program,Aq Advancing Regional Innovation Full 2016-17,Toowoomba And Surat Basin Enterprise Pty Ltd,Toowoomba,4350.0,Nan,Toowoomba Regional Council  Maranoa Regional Council  Balonne Shire Council  Regional Development Australia Darling Downs And South West Inc  University Of Southern Queensland  Western Downs Regional Council  Darling Downs Hospital And Health Service,Regional 400M,Toowoomba City,4350.0,"St George, Dalby, Goondiwindi",2017-09-05,Toowoomba (R),Darling Downs,Toowoomba North,500000.0
Advancing Regional Innovation Program,Aq Advancing Regional Innovation Full 2016-17,Moreton Bay Region Industry And Tourism Limited,Kippa-Ring,4021.0,Nan,University Of The Sunshine Coast  Samford Commons Ltd  Grace Lutheran College  Srj Walker Wayland Pty Ltd  Sbim  The Hills & Districts Chamber Of Commerce  Regional Development Australia Moreton Bay Inc  Coastal Protection Core  Streten Masons Lawyers,Moreton Bay Region Sustainable Innovation Partnership Program,Kippa-Ring,4021.0,"Samford Valley, Narangba",2017-08-20,Moreton Bay (R),Moreton Bay,Redcliffe,499980.0
Advancing Regional Innovation Program,Aq Advancing Regional Innovation Full 2016-17,Gold Coast Innovation Hub Limited,Varsity Lakes,4227.0,Nan,Opmantek Software Pty Ltd  Mclaughlins Lawyers Pty Ltd  Scale Innovations Pty Ltd  42 Innovations Pty Ltd  It Forum Gold Coast Inc  Gold Coast City Council  Prime Ficial  Sports Gold Coast Limited  Gold Coast Techspace Inc  Tafe Queensland,Gold Coast Hub,Varsity Lakes,4227.0,"Coomera, Tweed Heads",2017-07-27,Gold Coast (C),Gold Coast,Mermaid Beach,500000.0
Advancing Regional Innovation Program,Aq Advancing Regional Innovation Full 2016-17,Greater Whitsunday Alliance Limited,Mackay,4740.0,Nan,Central Queensland University - Mackay Campus  Mackay Regional Council  Resource Industry Network  Mackay Innovation Centre  Whitsunday Regional Council  Isaac Regional Council  Regional Development Australia Mackay-Isaac -Whitsunday Inc.  Startup Mackay Inc  Split Spaces Ltd,Growing The Innovation Ecosystem In The Greater Whitsunday Region (Linked To Aqaripstaged00216-17),Mackay,4740.0,"Bowen, Moranbah",2017-08-11,Mackay (R),Mackay-Whitsunday,Mackay,480000.0
Advancing Regional Innovation Program,Aq Advancing Regional Innovation Full 2016-17,Ghd Pty Ltd,Townsville,4810.0,Nan,Townsville City Council  Palm Island Aboriginal Shire Council  Charters Towers Regional Council  Townsville Chamber Of Commerce  Burdekin Shire Council,I-Tap North Queensland,Townsville City,4810.0,"Charters Towers, Ayr, Ingham",2017-09-26,Townsville (C),Townsville,Townsville,74000.0
Advancing Regional Innovation Program,Aq Advancing Regional Innovation Full 2020-21,Health Management Pty Ltd,Cairns North,4870.0,Nan,"The Space Australasia Pty Ltd  Didgigo Marketing Pty Ltd  Amazon Web Services Australia Pty Ltd  James Cook University - Cairns Campus - Master  Macdonnells Law Pty Ltd  Central Queensland University - Cairns Campus - Master  Department Of Industry, Science, Energy And Resources  Art Work Space Pty Ltd  Pielab Capital Pty Ltd  Fnq Angels Inc  Cairns Regional Council  Cairns Chamber Of Commerce Inc",Launch Fnq Innovation Ecosystem Activation And Education Project,Cairns North,4870.0,Nan,2020-11-11,Cairns (R),Far North Queensland,Cairns,230000.0
Advancing Regional Innovation Program,Aq Advancing Regional Innovation Full 2016-17,Ignite Far North Queensland Limited,Manunda,4870.0,Nan,The Space Australasia Pty Ltd  Northern Gulf Resource Management Group Ltd  Tablelands Regional Council  Envizion Group Inc  James Cook University - Cairns Campus - Master,Advancing Regional Innovation In Fnq Through The Ignitefnq Collaborative Action Plan (Linked To Aqaripstaged00316-17),Cairns City,4870.0,"Wujal Wujal, Mareeba, Mossman, Bamaga, Thursday Island, Cooktown, Weipa",2017-06-26,Cairns (R),Far North Queensland,Cairns,315000.0
Advancing Regional Innovation Program,Aq Advancing Regional Innovation Full 2016-17,Central Highlands Development Corporation Limited,Emerald,4720.0,Nan,Central Highlands Regional Council  Bhp Billiton Limited  C-Res (Qld) Pty Ltd  Rural Business Collective Pty Ltd  Central Queensland University (Cquniversity Australia),Building And Bridging The RegionS New Economy,Emerald,4720.0,"Theodore, Tieri",2017-08-28,Central Highlands (R),Central Queensland,Gregory,500000.0
Advancing Regional Innovation Program,Aq Advancing Regional Innovation Full 2016-17,Ipswich City Council,Ipswich,4305.0,Nan,Future Anything Pty Ltd  Ipswich Region Chamber Of Commerce & Industry  Motor Trades Association Of Qld Industrial Organisation Of Employers  Startup Toowoomba Pty Ltd  Upower Leadership Program Pty Ltd  Greater Springfield Chamber Of Commerce  Tafe Queensland - Bundamba  Brisbane Broncos Ltd  Springfield City Group Pty Limited  University Of Southern Queensland - Springfield Campus - Master  Workrestart Pty Ltd  Stem Punks Ventures Pty Ltd  Telstra Corporation Limited  Ambition Group Limited  Firestation 101 (Ipswich City Enterprises Pty Ltd),Creating A Foundation Of Entrepreneurial Talent And Culture In Ipswich & West Moreton,Ipswich,4305.0,"Gatton, Harrisville",2017-06-29,Ipswich (C),Ipswich,Ipswich,432125.0
Advancing Regional Innovation Program,Aq Advancing Regional Innovation Full 2016-17,Innovation Nq Inc.,Townsville,4810.0,Nan,James Cook University - Townsville Campus - Master  Jesi Management Solutions Pty Ltd - Townsville  Honeycombes Developments Pty Ltd  The Philip Leong Youth Program  Sister City Partners Limited  Dec-Mech Pty Ltd,Inq Innovation Ecosystem Development,Townsville City,4810.0,"Charters Towers, Ingham & Ayr",2017-09-26,Townsville (C),Townsville,Townsville,150000.0
Advancing Regional Innovation Program,Aq Advancing Regional Innovation Full 2016-17,Central Western Queensland Remote Area Planning And Development Board,Longreach,4730.0,Nan,James Cook University - Townsville Campus - Master  Central Queensland University - Rockhampton Campus - Master  South West Regional Economic Development Association  Mckinlay Shire Council  Local Government Association Of Queensland  The Outback Queensland Tourism Association Inc  University Of Southern Queensland (Institute Of Resilient Regions)  Education Queensland  Queensland University Of Technology  Price Waterhouse Coopers  Telstra Corporation Limited  Gwi Pty Ltd,Outback Queensland Collaborative Innovation Project,Longreach,4730.0,"Cunnamulla, Julia Creek",2017-06-13,Longreach (R),Outback Queensland,Gregory,487248.0
Advancing Regional Innovation Program,Aq Advancing Regional Innovation Staged 2016-17,Regional Development Australia Far North Queensland And Torres Strait Incorporated,Cairns,4870.0,Nan,Tablelands Regional Council  The Space Australasia Pty Ltd  Envizion Group Inc  Northern Gulf Resource Management Group Ltd  James Cook University,Develop A Collaborative Action & Advise On The Submission Of A Subsequent Full Application For The Far North Queensland Region (Linked To Aqaripfull00816-17),Cairns City,4870.0,Nan,2017-03-20,Cairns (R),Far North Queensland,Cairns,20000.0
Agtech And Logistics Hub,Nan,Agrifood Connect Limited,Toowoomba City,4350.0,University Of Southern Queenslanduniversity Of Queensland,Toowoomba And Surat Basin Enterprisefkg Group,Agtech And Logistics Hub,Toowoomba City,4350.0,Nan,2020-09-25,Toowoomba (R),Darling Downs,Toowoomba North,3000000.0
Artificial Intelligence Hub,Nan,Ai Consortium Pty Ltd,Fortitude Valley,4006.0,"The University Of Queensland, Queensland University Of Technology",Kpmg,Artificial Intelligence Hub,Fortitude Valley,4006.0,Nan,2020-03-06,Brisbane (C),Brisbane,Mcconnel,5000000.0
Austcyber - Establishment Of A Queensland Node,Nan,Australian Cyber Security Growth Network Ltd,Griffith,2603.0,Nan,Nan,Establishment Of Queensland Cyber Security Hub,Statewide,,Townsville (Part Time Only),2020-05-26,Nonqueensland,Statewide,Nonqueensland,160000.0
Bdo Business Of Entrepreneurship,Nan,Acceler8 Pty Ltd,Brisbane City,4000.0,Nan,Nan,Acceler8 For Delivery Of The Bdo Business Of Entrepreneurship Program: Supporting Startups And Scaleups In A Covid-19 World,Brisbane City,4000.0,Nan,2020-06-04,Brisbane (C),Brisbane And Redlands,Mcconnel,356396.0
Biofutures Commercialisation Program,Aq Biofutures Commercialisation Program 2016-17 Round 1,Southern Oil Refining Pty Ltd,Bomen,2650.0,Nan,Carbon Free Renewables Pty Ltd,Bio-Hydrogen Generation For Bio-Fuel Production,Yarwun,4694.0,Nan,2017-06-02,Nonqueensland,Central Queensland,Nonqueensland,1000000.0
Biofutures Commercialisation Program,Aq Biofutures Commercialisation Program 2016-17 Round 1,The University Of Queensland,St Lucia,4067.0,Nan,Amyris Inc.,Queensland Strain Factory,St Lucia,4067.0,"Emeryville (California, Usa)",2017-06-12,Brisbane (C),Brisbane And Redlands,Maiwar,496000.0
Biofutures Commercialisation Program,Aq Biofutures Commercialisation Program 2016-17 Round 1,Woods Grain Pty Ltd,Goondiwindi,4390.0,Nan,The University Of Queensland - St Lucia Campus - Master,New Algae Farm In Goondiwindi,Goondiwindi,4390.0,Nan,2017-06-02,Goondiwindi (R),Darling Downs,Southern Downs,579000.0
Biofutures Commercialisation Program,Aq Biofutures Commercialisation Program 2016-17 Round 1,Mp Australia Holdings Pty Ltd,Gordonvale,4865.0,Nan,Queensland University Of Technology - Gardens Point Campus - Master  Ausagave  Howe Farming,Agave And Sugarcane: Integrated Bioindustries,Arriga,4880.0,Brisbane  /  Mackay  /  Maryborough,2017-06-02,Cairns (R),Far North Queensland,Mulgrave,180000.0
Biofutures Commercialisation Program,Aq Biofutures Commercialisation Program 2016-17 Round 1,Aquatec Maxcon Pty Ltd,Wulkuraka,4305.0,Nan,Trisco Foods Pty Ltd,Anaerobic Membrane Bioreactor For Biogas,Carole Park,4300.0,Ipswich,2017-06-02,Ipswich (C),Ipswich,Ipswich West,400000.0
Biofutures Commercialisation Program,Aq Biofutures Commercialisation Program 2016-17 Round 1,Dugalunji Aboriginal Corporation,Camooweal,4828.0,Nan,The University Of Queensland,Qld Spinifex Nano-Cellulose Industry,Indooroopilly,4068.0,Camooweal,2017-06-02,Mount Isa (C),Brisbane And Redlands,Traeger,995129.0
Biofutures Commercialisation Program,Aq Biofutures Commercialisation Program 2016-17 Round 1,Inkerman Canegrowers Organisation Limited,Home Hill,4086.0,Nan,Mr Gregory O'Hanlon  S&L Peters Pty Ltd  Nothern Oils Refinery Pty Ltd  Northern Australia Cropping Consultants Pty Ltd  Recycling Technologies Group,Burdekin Biofutures Project,Home Hill,4806.0,Gladstone  /  Brisbane  /  Maryborough  /  Melbourne  /  Eden (Nsw),2017-06-02,Burdekin (S),Townsville,Burdekin,125000.0
Bionics,Nan,Bionics Queensland Limited,Ashgrove,4060.0,Nan,Nan,Bionics Queensland Innovation And Research Challenge,Ashgrove,4060.0,Nan,2020-05-22,Brisbane (C),Brisbane And Redlands,Cooper,100000.0
Bionics,Nan,Bionics Queensland Limited,Ashgrove,4060.0,Nan,Motor Accident Insurance Commission,Bionics Ecosystem Mapping Study,Ashgrove,4060.0,Nan,2020-06-03,Brisbane (C),Brisbane And Redlands,Cooper,60000.0
Clem Jones Centre For Ageing Dementia Research,Clem Jones Centre For Ageing Dementia Research,The University Of Queensland,St Lucia,4067.0,Nan,Nan,Commercial Development Of The Ultrasound Application For Alzheimer'S Disease Treatment Developed At Queensland Brain Institute'S Clem Jones Centre For Ageing Dementia Research,St Lucia,4067.0,Nan,2018-06-01,Brisbane (C),Brisbane And Redlands,Maiwar,5000000.0
Commercialisation Partnerships Program,Queensland-China Most Cpp 2016-17 Round 1,Smart Sensor Technologies Pty Ltd,Corinda,4075.0,Nan,Nan,Wineminder,Corinda,4075.0,"Guangzhou, China",2017-03-23,Brisbane (C),Brisbane And Redlands,Mount Ommaney,17482.0
Commercialisation Partnerships Program,Queensland-China Most Cpp 2016-17 Round 1,Ausasia Health Innovation Pty Ltd,Fairfield,4103.0,Nan,Nan,The TraegerS Box - Portable Emr Device For Medical Emergency,Fairfield,4103.0,"Beijing, China",2017-03-23,Brisbane (C),Brisbane And Redlands,Miller,17070.0
Commercialisation Partnerships Program,Queensland-China Most Cpp 2016-17 Round 1,Ocean Organics Australia Pty Ltd,Alexandra Hills,4161.0,Nan,Nan,"Seagrass Extract Uses For The Pharmaceutical, Healthcare Or Skincare Industries.",Alexandra Hills,4161.0,"Shanghai, China",2017-03-23,Redland (C),Brisbane And Redlands,Capalaba,15895.0
Commercialisation Partnerships Program,Queensland-China Most Cpp 2016-17 Round 1,Elanra Medical Pty Ltd,Varsity Lakes,4227.0,Nan,Nan,Distribute Elanra Medical Throughout China,Varsity Lakes,4227.0,"Suzhou, China",2017-03-23,Gold Coast (C),Gold Coast,Burleigh,19899.0
Commercialisation Partnerships Program,Queensland-China Most Cpp 2016-17 Round 1,Go Evolve Pty Ltd As Trustee For Evolve Group Unit Trust,Surfers Paradise,4217.0,Nan,Nan,Universal Modular Building System,Surfers Paradise,4217.0,"Shenzhen, China",2017-03-23,Gold Coast (C),Gold Coast,Surfers Paradise,13209.0
Commercialisation Partnerships Program,Queensland-China Most Cpp 2016-17 Round 1,Applied Matter Systems Pty Ltd,Kangaroo Point,4169.0,Nan,Nan,"Bringing Dimension To E-Commerce, Off Screen And Into Consumers' Hands",Kangaroo Point,4169.0,Guangzhou,2017-03-23,Brisbane (C),Brisbane And Redlands,South Brisbane,17727.0
Commercialisation Partnerships Program,Queensland-China Most Cpp 2016-17 Round 1,Griffith University,Nathan,4111.0,Nan,Nan,Low Cost Sic Schottky Diodes,Nathan,4111.0,"Shanghai, China",2017-03-23,Brisbane (C),Brisbane And Redlands,Toohey,9853.0
Create Queensland,Round 2,Deanne & Masao,Currumbin,4223.0,Nan,Nan,Guinness World Records Of Hula Hooping,Nan,,Online,2017-06-29,Gold Coast (C),Statewide,Currumbin,30000.0
Create Queensland,Round 2,Andy Thomsen,Strathdickie,4800.0,Nan,Nan,Andy'S Fishing,Nan,,Online,2017-06-29,Whitsunday (R),Statewide,Whitsunday,30000.0
Create Queensland,Round 2,Olivia Weeks,Wellington Point,4160.0,Nan,Nan,Behind The Scenes: Recording An Ep,Nan,,Online,2017-06-29,Redland (C),Statewide,Oodgeroo,10000.0
Create Queensland,Round 3,Mark Valencia,Bellmere,4510.0,Qut/Gu,Screen Queensland/Youtube,Self Sufficient Me,Nan,,Online,2018-08-10,Moreton Bay (R),Statewide,Glass House,27500.0
Create Queensland,Round 1,Tom Horn,Annerley,4103.0,Nan,Nan,Tom Thum: Live From The Larynx,Nan,,Online,2016-08-09,Brisbane (C),Statewide,Miller,30000.0
Create Queensland,Round 1,Alysse Skilton,Hervey Bay,4655.0,Nan,Nan,Madison Herring: Sexybubblegumbritneyspearsstar49,Nan,,Online,2016-08-09,Fraser Coast (R),Statewide,Hervey Bay,10000.0
Create Queensland,Round 1,Stephanie Hames,Buderim,4556.0,Nan,Nan,Short Horror Films,Nan,,Online,2016-08-09,Sunshine Coast (R),Statewide,Buderim,10000.0
Create Queensland,Round 2,Andrew Price,Shailer Park,4128.0,Nan,Nan,Explaining The 3D Industry,Nan,,Online,2017-06-29,Logan (C),Statewide,Springwood,30000.0
Create Queensland,Round 1,Sara Holmes,Chapel Hill,4069.0,Nan,Nan,Australia Vs Korea,Nan,,Online,2016-08-09,Brisbane (C),Statewide,Moggill,30000.0
Create Queensland,Round 1,Elly Awesome,Holland Park West,4121.0,Nan,Nan,Show Me Your Food,Nan,,Online,2016-08-09,Brisbane (C),Statewide,Greenslopes,30000.0
Create Queensland,Round 3,Zach Mander,Mitchelton,4053.0,Qut/Gu,Screen Queensland/Youtube,Collective Noun,Nan,,Online,2018-08-10,Brisbane (C),Statewide,Everton,27500.0
Data61,Nan,Commonwealth Scientific And Industrial Research Organisation T/A Data61,Fortitude Valley,4006.0,Nan,Data61,"Establishing A Functional Programming Open Lab, Big Data Platform Challenge, Q-Foresight, Queensland Research Fellow (Q-Foresight)",Fortitude Valley,4006.0,Nan,2016-12-05,Brisbane (C),Brisbane,Mackay,5695000.0
Deadly Data,Round 1,Cherbourg Aboriginal Shire Council,Cherbourg,4605.0,Nan,Nan,Cherbourg Digital Connectivity Pilot  Access To Starlink Satellite Internet Service For 12 Months,Cherbourg,4605.0,"Peregian Digital Hub, Noosa Council - Will Also Host Some Of The Activities",2022-02-02,Cherbourg (S),Wide Bay,Nago,35391.0
Deadly Data,Round 1,Cherbourg Aboriginal Shire Council,Cherbourg,4605.0,Nan,National Indigenous Australians Agency,Cherbourg Material Recovery Facility,Cherbourg,4605.0,Nan,2022-11-25,Cherbourg (S),Wide Bay,Nago,10000.0
Deadly Data,Round 1,Cherbourg Aboriginal Shire Council,Cherbourg,4605.0,Nan,Indigenous Land And Sea Corporation,Cherbourg Ai Project - From Waste To Data To Opportunity,Cherbourg,4605.0,Nan,2020-09-09,Cherbourg (S),Wide Bay,Nago,150000.0
Deadly Innovation,Round 1,Bcf Concreting Solutions Pty Ltd,Rockhampton City,4700.0,Nan,Nan,Top Con Gps Millimietre Guidance System For Wirtgen Former.,Rockhampton City,4700.0,312 Alexandra Street Kawana 4701,2020-07-13,Rockhampton (R),Central Queensland,Rockhampton,100000.0
Deadly Innovation,Round 1,Sobah Beverages Pty Ltd,Burleigh Heads,4220.0,Nan,Nan,Dry Shelf Stabilisation Of Products,Burleigh Heads,4220.0,Nan,2019-08-21,Gold Coast (C),Gold Coast,Burleigh,100000.0
Deadly Innovation,Round 1,Islex Australia Pty Ltd,Kingston,4114.0,Nan,Nan,Smart Syphon Commercialisation,Kingston,4114.0,Cotton Farm Locations Across Regional Queensland And Nsw.,2020-09-30,Logan (C),Logan,Waterford,100000.0
Deadly Innovation,Round 1,Minjerribah Art Studio & Cottage Pty Ltd,Dunwich,4183.0,Nan,Nan,Support To Scale - Expo 2020 Dubai,Dunwich,4183.0,Dubai - Attendance At Expo,2021-05-31,Redland (C),Brisbane And Redlands,Oodgeroo,25000.0
Deadly Innovation,Round 1,Hopevale Congress Aboriginal Corporation Rntbc,Cooktown,4895.0,Nan,Nan,Business Case - Hopevale Black Lip Oysters,Cooktown,4895.0,Nan,2020-09-23,Cook (S),Far North Queensland,Cook,35638.0
Deadly Innovation,Round 1,Davis Trading Pty Ltd,Kawana,4701.0,Nan,Nan,Effective Feral Pig Control Traps,Kawana,4701.0,Nan,2021-08-13,Rockhampton (R),Central Queensland,Rockhampton,100000.0
Deadly Innovation,Round 1,Nourishing Bites Pty Ltd,West End,4810.0,Nan,Nan,Commercialise Heavenly Hazel Chochazelnut Spread,West End,4810.0,Nan,2020-07-13,Townsville (C),Townsville,Townsville,100000.0
Deadly Innovation,Round 1,Pwron Pty Ltd,New Farm,4005.0,Nan,Nan,Pwron Temperature Alert Log System,New Farm,4005.0,"Mount Low, Qld",2020-12-22,Brisbane (C),Brisbane And Redlands,Mcconnel,100000.0
Deadly Innovation,Round 1,Ethix Group Pty Ltd,Wandal,4700.0,Nan,Nan,Wujal Wujal Vanilla Bean Commercialisation Business Case,Wandal,4700.0,Wujal Wujal Queensland,2022-10-19,Rockhampton (R),Central Queensland,Rockhampton,45800.0
Deadly Innovation,Round 1,Logit Australia Pty Ltd,New Farm,4005.0,Nan,Csiro - Ecosciences Precinct - Master  Megt Australia Ltd,Weavr - Reconciliation Action Plan Monitoring And Reporting System,New Farm,4005.0,Nan,2021-08-12,Brisbane (C),Brisbane And Redlands,Mcconnel,50000.0
Deadly Innovation,Round 1,Rrj Engineering Pty Ltd T/A B&C Plastics,Meadowbrook,4131.0,Nan,Container Exchange (Qld) Limited,Business Case And Pilot Project - Dive Fins From Recycled Plastic Sourced From The Torres Strait,Meadowbrook,4131.0,"Cairns, Torres Strait, Thursday Island",2021-10-21,Logan (C),Logan,Waterford,35000.0
Deadly Innovation,Round 1,Iscariot Media Pty Ltd,Everton Park,4053.0,Nan,Nan,Western Yalanji Ar Project  Stage 2 Of Western Yalanji Rock Art Project,Everton Park,4053.0,Nan,2022-05-25,Brisbane (C),Brisbane And Redlands,Everton,25000.0
Deadly Innovation,Round 1,Solar Relief Pty Ltd,Kirwan,4817.0,Nan,Nan,Commercialisation Of Portable Power Supply.,Kirwan,4817.0,Brisbane,2020-09-08,Townsville (C),Townsville,Thuringowa,75000.0
Deadly Innovation,Round 1,Ethix Group Pty Ltd,Wandal,4700.0,Nan,Nan,Hopevale Tropical Blacklip Rock Oyster Farm - Stage 1,Hope Vale,4895.0,Nan,2022-05-10,Rockhampton (R),Far North Queensland,Rockhampton,15750.0
Deadly Innovation,Round 1,Department Of Agriculture And Fisheries,Wilsonton Heights,4350.0,Nan,Nan,Indigenous Native Food Project - Phase 2,Wilsonton Heights,4350.0,Across Queensland,2022-05-25,Toowoomba (R),Darling Downs,Toowoomba North,200000.0
Deadly Innovation,Round 1,Woorabinda Aboriginal Shire Council,Woorabinda,4713.0,Nan,Nan,Business Case: Commercial Wattle Seed Production,Woorabinda,4713.0,Nan,2020-09-23,Woorabinda (S),Central Queensland,Gregory,40500.0
Dubai South,Nan,Trade And Investment Queensland,Brisbane City,4000.0,Nan,Nan,Dubai South Project 2107/18 - 2021,Dubai,,Dubai,2017-01-22,Brisbane (C),Nonqueensland,Mcconnel,355000.0
Female Founders Program,Nan,Advisory Board Centre Pty Ltd,Brisbane City,4000.0,Nan,Nan,Provision Of Innovation Services Contract No. Ditid 26-19,Brisbane City,4000.0,Nan,2023-03-04,Brisbane (C),Brisbane,Mcconnel,76500.0
Female Founders Program,Nan,Impact Innovation Group Pty Ltd,Brisbane City,4000.0,Nan,Nan,Provision Of Innovation Services Contract No. Ditid 25-19,Brisbane City,4000.0,Nan,2019-03-05,Brisbane (C),Brisbane,Mcconnel,1452855.0
Female Founders Program,Round 1,Sbe Australia Limited,"Bondi Junction, Nsw",,Nan,Nan,Sbe Evolve,Fortitude Valley,4006.0,Nan,2021-09-22,Nonqueensland,Brisbane,Nonqueensland,30000.0
Female Founders Program,Scrunch Program,Scrunch Enterprises Pty Ltd,West End,4101.0,Nan,Nan,Female Founders Scrunch Program,West End,4101.0,Nan,2020-08-07,Brisbane (C),Brisbane,South Brisbane,95409.0
